KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days]
124.01,6.83336303689182,4.805014001759747,4.966458286163089,12.691057718504325,86.72260471268808
124.02,3.301975540921919,4.584643489418484,-0.7001969910985011,31.719886081005203,104.7382880003088
127.01,814.0,0.3656074653911883,6.0915754475785775,3.5787811181261167,2913.127830154659
128.01,9.280701326570425,0.15201847100189372,6.535978807267043,4.942783407327827,45.872496525337645
137.01,35.40218779499139,4.436244848045696,447.9227814244018,7.641562391228682,270.5280268214213
137.02,18.0819392284056,4.36118541608134,756.2816653559953,14.858923649324975,268.67815442661293
137.03,5.165025577864086,5.5804290818095295,19.278764074596836,3.504716350960169,18.101949595867758
139.01,12.0,356.2732660512938,3080.385943950407,224.87131332629087,2698.4557599154905
139.02,2.232027362589373,13.148072776228322,48.99859763478196,3.3418056204873956,7.4590015853828255
141.01,3.266061487413214,0.5063294980819597,3.700736492624003,2.6242345003177423,8.570911235428838
142.01,57.126568662603084,644.2880365720046,5714841.454330503,10.952496543104296,625.6785457965705
144.01,5.668686815309975,1.5763952905620713,8.341613117465101,4.17625570343038,23.67388564339888
148.01,84.41652586253883,4.259971828738201,23.836886763514485,4.778001359225577,403.34227531231164
148.02,40.143257552164435,3.3026633380986943,36.58198806946265,9.673950486727787,388.34388593560004
148.03,5.393276851598798,9.610793054655645,10.391490943001422,42.89620538040799,231.35111149958223
149.01,4.017152737752161,2.732525595268911,1.5982784542721618,14.55730625935182,58.47892269405183
150.01,30.917936349197017,2.5242820350290844,7.332555737163176,8.4088703365656,259.98491783458616
150.02,3.9299781181619258,3.513630637314618,0.8184736511256858,28.574276058496302,112.29627965220867
151.01,2.491577617195647,3.2742909598705454,9.419923692498756,13.447176491740844,33.50468396130097
152.01,11.964071856287424,9.519134718926168,207.08579781313495,52.090724554884304,623.2171716207115
152.02,33.73403456048084,14.214524700190372,51.548168209543974,27.402457414295966,924.3954454559647
152.03,61.56351999999999,9.853391225048542,45.52712653127631,13.484557605796706,830.1568318556175
152.04,9.321499013806706,34.5082998532917,26.419812436717166,81.06437887528037,755.6415277407791
153.01,3.6696959252129027,2.1192496076474403,1.366928314176846,8.925074648265372,32.75231006896042
153.02,15.95319140678065,2.3164645083769564,6.313465862328599,4.754002328339443,75.84150909228
155.01,2.4270924880461173,2.030290238640834,0.08763774435553273,5.66066664144217,13.738961482777533
156.01,2.1008816995561044,3.898874758314147,6.319498786321816,8.04134735895963,16.8939195062121
156.02,7.17435859776085,7.6386763438349075,19.594977020600197,5.1885663368865,37.22463550909418
156.03,13.833050487908357,2.6358254499950107,21.20062424720099,11.776136252345038,162.8998873311768
157.01,17.39416577730345,6.186538883326935,24.1316766674872,13.02491114415362,226.55746367605522
157.02,7.931922723091075,6.420067406254473,17.718838990783752,22.68718810646215,179.9530228646887
157.03,24.208429118773946,5.841609445728986,39.727608638568654,31.995291680253306,774.5557507759099
157.04,11.294611616515045,24.035575708258776,90.31999091242785,46.685821214322836,527.2982186138353
157.05,2.384087791495199,9.926002923854117,9.786270819890214,118.37784832976607,282.2231829864656
157.06,2.0246755658255795,10.31193991444539,14.617737212124979,10.304052671242044,20.862363672443557
159.01,120.46884604638169,3.6294636732312133,1.9309566960734799,8.990895697007234,1083.12282954184
161.01,10.419633034034852,1.177578046208781,9.375857801814846,3.105507460972514,32.35824812779091
162.01,3.046845530389275,3.331064226204834,2.1086393002480293,14.006400334340956,42.67533825552959
165.01,39.884929325104515,4.235487866891228,19.992103059351805,13.221757133249554,527.348848813355
166.01,23.15234488785319,4.146442394917479,17.172246604765974,12.493413896213747,289.25182735183836
167.01,9.712695006669373,3.0579992526225914,4.2202434691158714,4.919588983516029,47.78246735506179
168.01,42.72084805653711,22.74021413805726,249.10041400582594,10.742477954118506,458.9277684285963
168.02,3.3443273782256835,12.27896159636428,5.535179332999718,15.274532071115594,51.083035795018134
168.03,64.74736660335002,36.61164301158799,15.451876490175522,7.106925555363318,460.1547143558257
171.01,2.7331805873776296,3.283760653268006,6.487228755720878,5.9687050782314275,16.313548851604413
171.02,9.111210311924557,14.309855679000314,18.014988454380443,13.07149269453132,119.09711903066028
172.01,3.702212649304876,4.36932446342699,2.4856553969482746,13.722355712435599,50.8030788968401
172.02,3.3793103448275863,40.07528172078338,2.887817872287785,242.45945337304516,819.3457389847733
173.01,9.342536763702835,4.954991005890288,5.269226017633315,10.0608375845833,93.99374500761272
174.01,4.106910039113429,5.697188368855014,12.096743154566923,56.354099959643996,231.4412188694636
176.01,2.1178496269370575,6.096253991643304,1.5731039517448693,30.229141193684196,64.0207753996717
177.01,2.256058046470409,8.813050763426165,6.640891398193389,21.060725978228877,47.51422030769164
179.01,4.233247152540003,4.808008321111679,3.808983855608716,20.74027973613689,87.79873013588463
180.01,16.959481361426256,2.299003512899538,6.688588650707445,10.045568591081308,170.36763328537245
183.01,4.21506092752943,0.08920341275108129,7.412797586759552,2.6843285065785563,11.3146082047327
186.01,4.264499775992967,0.20289776632104392,11.600206755571548,3.243259883371225,13.830881046123565
188.01,2.7212998588078543,0.13996810171176852,3.2364004306110132,3.797018202349599,10.332825097944816
189.01,11.176725695699314,0.3818505513718746,2.712875841571808,30.36044487870916,339.3303644087313
191.01,4.3318867534614585,0.5309523250770373,4.7547583308817565,15.358768047840623,66.5324438559279
191.02,2.818723921965095,5.015539295110368,17.624264337747604,2.418406960392591,6.816821552305488
191.04,12.721991701244814,17.281229577770848,0.5024300065974607,38.65179589029064,491.727826554486
192.01,2.0447727230794777,0.20950269034210958,-1.8897813954258993,10.290994234300218,21.04274430366526
193.01,2.2383010021145537,0.2536882113778228,-0.39371463433312925,37.59030200903555,84.13841065661299
195.01,3.9390715908807157,0.17614805041150747,4.541504757394591,3.217518582422795,12.674036041152425
196.01,46.305995864920746,0.13146273690413235,4.582637807662081,1.855557552163852,85.9234403376218
197.01,2.1422577847014463,0.35772320684255116,2.8538991805125136,17.27629716311497,37.01028208849856
199.01,8.188263959584495,0.1915976278317486,-0.11991877918217142,3.2686952860460723,26.764939805594786
200.01,394.00000000000006,1.0365203871705608,21.482721315827746,7.340717801388033,2892.2428137468855
202.01,934.067570638588,0.24530659641086605,39.11625510844726,1.7208611832247158,1607.4006248209564
203.01,4.049618575800647,0.19676631141651457,130.7091721811314,1.4857109270617395,6.0165625684992206
204.01,11.12354153665778,0.547656508434443,22.297105946559782,3.2467322783879715,36.11516135705615
208.01,34.69072330580637,0.5361933725147722,23.581187008867573,3.0038765178913156,104.20664912697676
209.01,3.3456083602886286,2.164126459135918,11.945642729415823,50.79035670700392,169.92464202099396
209.02,2.7015902712815714,5.988590113798559,107.5109588881129,18.795878139861287,50.77876152284321
212.01,5.171315966548112,0.7131310835585334,10.249056096283908,5.695902219657194,29.455310092410077
214.01,5.107768729608042,0.34096910286762916,4.666226921257362,3.3118643459954766,16.916237143179483
216.01,19.634644976918004,1.2002175286327559,2.730140245033766,20.172023472706222,396.0705193526433
217.01,2.4729130382881297,0.28899517989924706,55.917166561990825,3.9050819847734104,9.656928155730254
219.01,360.0,4.810369778398245,3.061293790548774,8.025076647956805,2889.02759326445
220.01,4.2346911256068855,0.6935053785613537,6.564965594181899,2.4220845253466443,10.2567798449552
221.01,2.988547612491307,0.61676234560285,5.670298730210675,3.4130358063734634,10.200020010484756
222.01,3.603555710488475,2.3436672431945844,2.4375354906813698,6.312508148653454,22.747474786585183
222.02,5.061367215652777,7.530833943433076,10.76297401872094,12.794565341712802,64.75799355907245
223.01,18.509169429776083,1.6439842147988057,2.5658538557663633,3.177411777630309,58.811252940325396
223.02,5.928571428571428,10.443105816206577,10.277094454325741,41.008110252433944,243.11951078228694
226.01,73.53330379559888,8.774354773130144,46.5391650295129,8.308671008121378,610.9640293778741
227.01,95.77235772357723,1104.5763373380375,796347.8509124554,17.66929636924897,1692.2301725996165
232.01,127.31390134529148,1.425799133359146,1.9451228528722027,12.465996369725199,1587.0946319859556
232.02,5.391488518277317,7.999853818129077,23.66657170627127,5.766189322816468,31.088343528178243
232.03,3.4296300518725413,21.153375063752968,18.0011085916385,21.58702707756276,74.03551679579552
232.04,74.0,366.86078013877443,93.97166531946996,38.011404061483695,2812.8439005497935
232.05,24.581818181818182,19.06910613925088,2.323249681933085,56.25901650716067,1382.9489148669315
234.01,9.630556999102378,4.6688711282716975,9.5650369167532,9.613752361018049,92.58579008803939
235.01,2.19884338300602,2.839941488639614,1.6843185210325373,5.632530352681892,12.38505209557514
237.01,4.051717412752678,3.370855993259231,4.8606996767775,8.508319208737676,34.47330509130053
238.01,2.1611397690985017,6.460841697631972,7.180089378169939,17.232333128704873,37.24148043879771
238.02,18.20349761526232,50.361003284436244,13.2185646172357,26.694797982973682,485.93869142297086
239.01,9.971796589473326,2.223546463374963,7.953657700474821,5.640676102421784,56.24767472045324
240.01,3.5896194687922045,2.3284856430223533,1.7656564841164482,4.28686704575857,15.388221407578685
241.01,11.844189221749257,5.448058161599604,11.008820811302854,13.821388486049974,163.7031405360824
241.02,3.2935853074261376,20.955452167301384,4.065798387105829,30.950910929987675,101.93946549046245
242.01,2.0519576079087596,1.1414613553614368,4.97520765514551,7.25844716608364,14.8940258840491
244.01,26.61701376632545,1.4799401213443664,121.6667642211568,12.72037093770033,338.57828836153584
244.02,51.82509505703422,3.968730310511664,179.57251269224707,6.238534686250079,323.31265313151545
245.01,3.948658109684948,2.0535716475318786,56.829293155843004,39.792231686153016,157.12591834999046
245.02,13.665617788965806,5.876950450476243,1.336415450092872,21.301918477555976,291.10387608598836
246.01,66.50255299396565,0.863192159985066,-0.3156972032991803,5.398752941515806,359.03085359448283
246.02,11.020835842466578,30.641704557006086,204.3429791763828,9.604986653586986,105.85498117826457
247.01,2.210337411516714,3.92768487091141,0.9761208680867668,13.815057990781014,30.535939519296203
248.01,50.913544459743456,11.109549885394705,237.90473888583796,7.203855092331486,366.7737965249684
248.02,33.920683760683765,20.647944701161034,234.89011406278186,10.912705390184808,370.166428513968
248.03,2.1924654410185695,4.196078174600506,9.652208433263695,2.5765713796633785,5.649043706229493
248.04,3.6179215930304918,11.909111639679908,15.166917813230995,18.596304563031794,67.2799718291642
